192.168.100.17 - - [05/Mar/2021:19:25:26 +0000] "GET /test HTTP/1.1" 200 72 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36"
192.168.100.17 - - [05/Mar/2021:19:25:27 +0000] "GET /favicon.ico HTTP/1.1" 404 326 "http://192.168.100.17:17178/test" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36"
192.168.100.40 - - [05/Mar/2021:19:31:34 +0000] "POST /rdc?method=batch2 HTTP/1.1" 500 406 "-" "okhttp/3.12.12"
192.168.100.40 - - [05/Mar/2021:19:32:27 +0000] "POST /rdc?method=batch2 HTTP/1.1" 500 398 "-" "okhttp/3.12.12"
192.168.100.40 - - [05/Mar/2021:19:33:09 +0000] "POST /rdc?method=batch2 HTTP/1.1" 500 470 "-" "okhttp/3.12.12"
192.168.100.40 - - [05/Mar/2021:19:33:29 +0000] "POST /rdc?method=batch2 HTTP/1.1" 200 128 "-" "okhttp/3.12.12"
192.168.100.40 - - [05/Mar/2021:19:54:26 +0000] "POST /rdc?method=query2 HTTP/1.1" 500 398 "-" "okhttp/3.12.12"
192.168.100.40 - - [05/Mar/2021:20:06:29 +0000] "POST /rdc?method=query2 HTTP/1.1" 500 398 "-" "okhttp/3.12.12"
192.168.100.40 - - [05/Mar/2021:20:06:32 +0000] "POST /rdc?method=query2 HTTP/1.1" 500 398 "-" "okhttp/3.12.12"
192.168.100.40 - - [05/Mar/2021:20:06:54 +0000] "POST /rdc?method=query2 HTTP/1.1" 500 398 "-" "okhttp/3.12.12"
192.168.100.40 - - [05/Mar/2021:20:06:54 +0000] "POST /rdc?method=query2 HTTP/1.1" 500 398 "-" "okhttp/3.12.12"
192.168.100.40 - - [05/Mar/2021:20:07:19 +0000] "POST /rdc?method=query2 HTTP/1.1" 500 398 "-" "okhttp/3.12.12"
192.168.100.40 - - [05/Mar/2021:20:07:21 +0000] "POST /rdc?method=query2 HTTP/1.1" 500 398 "-" "okhttp/3.12.12"
